stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
Route11-1114_177 Marksam Rd.,1114,177 Marksam Rd.,,43.540369,-80.291578,,,,
Route11-1115_145 Marksam Rd.,1115,145 Marksam Rd.,,43.537827,-80.288856,,,,
Route11-1116_76 Marksam Rd.,1116,76 Marksam Rd.,,43.536977,-80.283222,,,,
Route11-1117_Willow Rd. at Silvercreek Pkwy.,1117,Willow Rd. at Silvercreek Pkwy.,,43.540246,-80.278258,,,,
Route11-1118_158 Willow Rd.,1118,158 Willow Rd.,,43.542696,-80.274948,,,,
Route11-1119_66 Willow Rd.,1119,66 Willow Rd.,,43.543569,-80.273708,,,,
Route11-1120_26 Willow Rd.,1120,26 Willow Rd.,,43.545212,-80.271456,,,,
Route11-1121_200 Edinburgh Rd. N.,1121,200 Edinburgh Rd. N.,,43.542215,-80.264745,,,,
Route11-1122_Paisley St. at Yorkshire St. N.,1122,Paisley St. at Yorkshire St. N.,,43.542516,-80.258347,,,,
Route11-1123_Paisley St. at Glasgow St.,1123,Paisley St. at Glasgow St.,,43.543289,-80.256822,,,,
Route11-1124_Paisley St. at Norfolk St.,1124,Paisley St. at Norfolk St.,,43.54513,-80.253188,,,,
Route11-1130_St George's Square IF Shoe store,1130,St George's Square IF Shoe store,,43.545578,-80.249017,,,,
Route11-1125_Guelph Central Station,1125,Guelph Central Station,,43.545180,-80.246050,,,,

Route14-1400_Guelph Central Station,1400,Guelph Central Station,,43.54518,-80.24605,,,,
Route14-1401_Elizabeth St. at Duke St.,1401,Elizabeth St. at Duke St.,,43.5479,-80.241684,,,,
Route14-1402_65 Elizabeth St.,1402,65 Elizabeth St.,,43.549022,-80.240144,,,,
Route14-1403_Elizabeth St. at Morris St.,1403,Elizabeth St. at Morris St.,,43.550865,-80.237719,,,,
